IntMatrix: 6184 by 3
row 0:      0      1    200 
row 1:    144    303    143 
row 2:    582    299   1019 
row 3:    173    174    685 
row 4:      2    201      1 
row 5:    581   1021   1123 
row 6:    198    199    200 
row 7:    283   1015   1124 
row 8:      3      4    204 
row 9:    498    242    305 
row 10:    201    203    200 
row 11:    146    296    145 
row 12:      4      5    204 
row 13:    296    732   1359 
row 14:    202    667    402 
row 15:    458    254    688 
row 16:      5      6    207 
row 17:    298   1510    927 
row 18:    382    196    205 
row 19:    147    294    146 
row 20:    204      5    207 
row 21:    294    407    405 
row 22:    206    209    382 
row 23:    300    312    406 
row 24:    857      8    389 
row 25:    293    244    243 
row 26:    210    194    208 
row 27:    278    411    407 
row 28:    378    207    553 
row 29:    294    296    146 
row 30:    209    541    690 
row 31:    170   1510    169 
row 32:    412     10    366 
row 33:    298    168    169 
row 34:    214    192    211 
row 35:     44    290    273 
row 36:     10     11    215 
row 37:    290    258    410 
row 38:    371    835    211 
row 39:    154    155    482 
row 40:    217    539    412 
row 41:    289    147    148 
row 42:    213    640   1328 
row 43:    254    286    414 
row 44:    222   1823   1664 
row 45:    291   1440    166 
row 46:    216    189    190 
row 47:    247    497    692 
row 48:    218     14     15 
row 49:   1050   1301   1665 
row 50:    220    187    418 
row 51:    162    286    256 
row 52:    415    431   1347 
row 53:    286    254    256 
row 54:    439    420   1127 
row 55:    302    784    696 
row 56:    419   1096     12 
row 57:    285    710    856 
row 58:    188    418    187 
row 59:    152    284    151 
row 60:    217    412    698 
row 61:    284    149    150 
row 62:    695   1127   1128 
row 63:    287    497    700 
row 64:    223     18     19 
row 65:    579    283   1129 
row 66:    221    184    185 
row 67:    297    401    917 
row 68:    438    882     20 
row 69:    282    251    276 
row 70:    221    355    184 
row 71:    727    422    697 
row 72:    219    858   1130 
row 73:    281    446    890 
row 74:    218     15    703 
row 75:    168    404    167 
row 76:    222    694    704 
row 77:    269    414    286 
row 78:    630    622   1666 
row 79:    136    137    941 
row 80:    349    755    706 
row 81:   1410   2946   2320 
row 82:    877    705   1348 
row 83:    154    725    153 
row 84:    327    514   1024 
row 85:    284    486    437 
row 86:    180    435    880 
row 87:    248    277     59 
row 88:    526    756   1133 
row 89:    277     58     59 
row 90:    220    420    439 
row 91:    242    276    248 
row 92:    433     26    881 
row 93:    276    251    248 
row 94:    336    177    178 
row 95:    285    719    710 
row 96:    623   1445   2161 
row 97:   1697    933   1521 
row 98:    326    512    228 
row 99:     53    454     52 
row 100:    323    811    713 
row 101:    274     51     52 
row 102:    327    600    445 
row 103:     43    273    464 
row 104:    511     34    233 
row 105:    273    290    714 
row 106:    314    942    234 
row 107:    156    272    482 
row 108:    231    325    447 
row 109:    272    266    715 
row 110:     68     69    234 
row 111:    910    260    473 
row 112:    462     66     67 
row 113:    484    251    282 
row 114:     38    300    571 
row 115:    454    270    264 
